Year,Population,Population_female,ISO3,ASR,Region,RT,GDP,TAC,GammaC,MRI,PET,log_GDP
2015,1292275.0,643934.0,MUS,3.73173349,Africa,2.31,9630.5437837507,6.16,2.31,4.62,0.0,9.172694970877131
2018,1288833.0,642008.0,MUS,4.173902299,Africa,2.41,11818.7480619272,6.43,2.41,4.82,0.0,9.377442368423862
2022,1276130.0,637130.0,MUS,3.799935587,Africa,3.14,10246.5017455553,,,,,9.234691633196247
2015,56723537.0,29194266.0,ZAF,12.97197122,Africa,0.6,6112.27382485974,1.02,0.56,0.24,0.06,8.718054131030598
2018,58613001.0,30211846.0,ZAF,13.17551342,Africa,0.57,6914.1780318076,0.97,0.53,0.23,0.057,8.84132936961601
2018,6341732.0,3199142.0,KGZ,8.7657881,Europe,0.54,1283.5203037417,0.9,0.72,0.9,,7.157361819229083
2015,30749346.0,15267686.0,UZB,5.426418778,Europe,0.66,2803.19018021751,,,,,7.93851339767426
2018,32373490.0,16061755.0,UZB,6.120381244,Europe,0.62,1813.08530813664,,,,,7.502785263225715
2015,127275872.0,65071433.0,JPN,2.116160879,Western Pacific,7.19,34960.6393843385,101.7,,46.16,4.37,10.46197811862793
2018,126913432.0,64897017.0,JPN,2.061201945,Western Pacific,7.17,39751.1330982711,101.2,,45.94,4.35,10.590393625293084
2015,50983912.0,25407170.0,KOR,2.000572763,Western Pacific,3.07,30171.7906545222,36.17,8.26,20.44,3.22,10.31466268254703
2018,51640894.0,25804678.0,KOR,1.682272263,Western Pacific,3.0,35363.9508228687,35.38,8.08,19.99,3.15,10.473448241926059
2022,51782512.0,25941857.0,KOR,1.408851975,Western Pacific,4.25,34822.4048404971,38.83,5.97,30.29,3.8,10.458016275856812
2022,51782512.0,25941857.0,KOR,1.408851975,Western Pacific,4.25,34822.4048404971,,,,,10.458016275856812
2015,105312992.0,52476447.0,PHL,4.516494552,Western Pacific,0.19,2909.85818010301,1.15,,0.32,,7.975859623618142
2018,109465287.0,54754964.0,PHL,4.962218025,Western Pacific,0.18,3168.51036609727,1.09,,0.3,,8.06101684036853
2015,5525340.0,2637892.0,SGP,2.063055491,Western Pacific,3.74,55645.6068614606,9.44,,8.26,,10.92675841129577
2018,5634369.0,2729758.0,SGP,1.714230607,Western Pacific,3.51,66881.6067035265,8.87,,7.76,,11.11067927114715
2022,5649885.0,2730188.0,SGP,1.608494473,Western Pacific,5.13,90299.0694637269,,,,,11.410882434409864
2015,2921177.0,1577335.0,ARM,3.323610535,Europe,1.29,3512.39350276709,2.91,1.29,2.26,0.0,8.164052993685441
2018,2909965.0,1568153.0,ARM,2.351709815,Europe,1.34,4196.00562301769,3.02,1.34,2.35,0.0,8.341888309605302
2022,2880874.0,1546936.0,ARM,3.07413161,Europe,1.69,6571.97445545099,,,,,8.790569592273615
2015,1219502.0,603502.0,CYP,1.967487616,Europe,2.72,23088.44140625,21.75,8.15,13.59,0.0,10.047087399258219
