Cancer label,Sex,Type,Year,ASR (World),Crude rate,Cumulative risk,Total,Country_harmonized,Country,Region Name,RTCenters,Linac,Protontherapy,XRay,Brachytherapy,Last Update,Population,Population_male,Population_female,GDP_per_capita
Lung,Male,Mortality,2022,20.68974662,50.97924888,2.350678581,9830,Canada,Canada,Northern America,52,296,0,14,52,2025,38821259.0,19282356.0,19538904.0,56256.8007264015
Lung,Female,Mortality,2022,17.43395158,47.70482642,2.065611087,9321,Canada,Canada,Northern America,52,296,0,14,52,2025,38821259.0,19282356.0,19538904.0,56256.8007264015
Lung,Male,Mortality,2022,5.421611968,8.001466537,0.6187544792,201,Costa Rica,Costa Rica,Central America,5,12,0,1,1,2025,5081765.0,2512039.0,2569725.0,13625.9008491328
Lung,Female,Mortality,2022,2.728050192,4.708675053,0.3091545514,121,Costa Rica,Costa Rica,Central America,5,12,0,1,1,2025,5081765.0,2512039.0,2569725.0,13625.9008491328
Lung,Male,Mortality,2022,23.67014002,53.42522472,2.65247864,240,Cyprus,Cyprus,Western Asia,2,10,0,1,3,2025,1331370.0,670824.0,660545.0,33231.04296875
Lung,Female,Mortality,2022,8.646329193,16.54382523,1.039276137,78,Cyprus,Cyprus,Western Asia,2,10,0,1,3,2025,1331370.0,670824.0,660545.0,33231.04296875
Lung,Male,Mortality,2022,25.47311949,58.76583784,3.135460257,3102,Czechia,Czech Republic,Eastern Europe,36,67,1,30,16,2021,10673213.0,5262083.0,5411131.0,28282.2236715857
Lung,Female,Mortality,2022,12.08068543,34.13643041,1.536883035,1871,Czechia,Czech Republic,Eastern Europe,36,67,1,30,16,2021,10673213.0,5262083.0,5411131.0,28282.2236715857
Lung,Male,Incidence,2022,34.31986034,84.8899613,4.248406153,2494,Denmark,Denmark,Northern Europe,8,55,1,8,8,2020,5902904.0,2935843.0,2967061.0,67781.0940939514
Lung,Male,Mortality,2022,21.8149348,57.83689009,2.494459715,1698,Denmark,Denmark,Northern Europe,8,55,1,8,8,2020,5902904.0,2935843.0,2967061.0,67781.0940939514
Lung,Female,Incidence,2022,35.27687646,90.62602602,4.540754013,2694,Denmark,Denmark,Northern Europe,8,55,1,8,8,2020,5902904.0,2935843.0,2967061.0,67781.0940939514
Lung,Female,Mortality,2022,20.28375767,58.27315313,2.511203995,1729,Denmark,Denmark,Northern Europe,8,55,1,8,8,2020,5902904.0,2935843.0,2967061.0,67781.0940939514
Lung,Male,Mortality,2022,4.398404886,4.443783439,0.4318622264,395,Ecuador,Ecuador,South America,12,35,0,0,5,2025,17823897.0,8888825.0,8935073.0,6515.58528418336
Lung,Female,Mortality,2022,3.502978772,4.27528636,0.3577962408,382,Ecuador,Ecuador,South America,12,35,0,0,5,2025,17823897.0,8888825.0,8935073.0,6515.58528418336
Lung,Male,Mortality,2022,28.2523207,57.74667781,3.493314331,370,Estonia,Estonia,Northern Europe,2,10,0,0,3,2025,1350091.0,640730.0,709362.0,28340.3826549406
Lung,Female,Mortality,2022,7.866762247,25.09297087,0.9484885687,178,Estonia,Estonia,Northern Europe,2,10,0,0,3,2025,1350091.0,640730.0,709362.0,28340.3826549406
Lung,Male,Incidence,2022,23.63749407,63.31211892,2.89850584,1740,Finland,Finland,Northern Europe,13,50,0,0,7,2020,5569299.0,2753008.0,2816291.0,50440.560224974
Lung,Male,Mortality,2022,19.42570878,54.23157974,2.371257198,1493,Finland,Finland,Northern Europe,13,50,0,0,7,2020,5569299.0,2753008.0,2816291.0,50440.560224974
Lung,Female,Incidence,2022,15.06439842,43.02275451,1.940266789,1208,Finland,Finland,Northern Europe,13,50,0,0,7,2020,5569299.0,2753008.0,2816291.0,50440.560224974
Lung,Female,Mortality,2022,9.558367065,32.31200759,1.222204226,910,Finland,Finland,Northern Europe,13,50,0,0,7,2020,5569299.0,2753008.0,2816291.0,50440.560224974
Lung,Male,Mortality,2022,27.6332503,63.33098172,3.397045857,20340,France,France,Western Europe,168,570,4,2,90,2023,66277409.0,32116982.0,34160427.0,40988.6396406579
Lung,Female,Mortality,2022,12.08152786,29.80641943,1.518715881,10182,France,France,Western Europe,168,570,4,2,90,2023,66277409.0,32116982.0,34160427.0,40988.6396406579
Lung,Male,Mortality,2022,28.34695331,45.52523904,3.701720769,812,Georgia,Georgia,Western Asia,9,18,0,1,3,2025,3794784.0,1768050.0,2026734.0,6729.84659930283
Lung,Female,Mortality,2022,2.517182174,5.911569148,0.2987527201,114,Georgia,Georgia,Western Asia,9,18,0,1,3,2025,3794784.0,1768050.0,2026734.0,6729.84659930283
Lung,Male,Mortality,2022,16.96315197,23.11435248,2.113642386,5207,Argentina,Argentina,South America,89,131,0,8,47,2025,45407904.0,22527129.0,22880775.0,13962.1894087223
Lung,Female,Mortality,2022,8.678457768,14.22154625,1.114530097,3254,Argentina,Argentina,South America,89,131,0,8,47,2025,45407904.0,22527129.0,22880775.0,13962.1894087223
Lung,Male,Mortality,2022,3.665433912,2.293404113,0.3914389695,203,Guatemala,Guatemala,Central America,5,9,0,1,3,2025,17847877.0,8851469.0,8996407.0,5358.70156997677
Lung,Female,Mortality,2022,2.867786998,2.134184636,0.3042204856,192,Guatemala,Guatemala,Central America,5,9,0,1,3,2025,17847877.0,8851469.0,8996407.0,5358.70156997677
Lung,Male,Mortality,2022,48.05737654,96.2081834,6.226005765,4469,Hungary,Hungary,Eastern Europe,14,53,0,4,14,2025,9684306.0,4645135.0,5039171.0,18428.028825614
Lung,Female,Mortality,2022,25.46071852,65.30836772,3.415833792,3291,Hungary,Hungary,Eastern Europe,14,53,0,4,14,2025,9684306.0,4645135.0,5039171.0,18428.028825614
Lung,Male,Incidence,2022,26.69560332,47.32728087,3.167053104,93,Iceland,Iceland,Northern Europe,1,2,0,0,1,2018,380356.0,194847.0,185508.0,76350.4550416502
Lung,Female,Incidence,2022,34.80686329,68.99934774,4.395623377,128,Iceland,Iceland,Northern Europe,1,2,0,0,1,2018,380356.0,194847.0,185508.0,76350.4550416502
Lung,Male,Mortality,2022,17.90943848,39.87685976,1.970590578,5147,Australia,Australia,Australia and New Zealand,103,224,0,6,10,2025,26200984.0,13000471.0,13200513.0,65169.5191118657
Lung,Female,Mortality,2022,12.2033846,29.80538322,1.387339288,3904,Australia,Australia,Australia and New Zealand,103,224,0,6,10,2025,26200984.0,13000471.0,13200513.0,65169.5191118657
Lung,Male,Mortality,2022,21.6354594,42.96320421,2.46996042,1087,Ireland,Ireland,Northern Europe,12,42,0,4,14,2017,5110016.0,2530072.0,2579943.0,105190.685952731
Lung,Female,Mortality,2022,15.49539922,33.99299248,1.878760328,877,Ireland,Ireland,Northern Europe,12,42,0,4,14,2017,5110016.0,2530072.0,2579943.0,105190.685952731
Lung,Male,Mortality,2022,17.595791,25.5444678,2.127540772,1213,Israel,Israel,Western Asia,12,37,0,2,14,2025,9103151.0,4528556.0,4574595.0,54949.621556429
Lung,Female,Mortality,2022,7.729238187,13.57891554,0.9625051238,653,Israel,Israel,Western Asia,12,37,0,2,14,2025,9103151.0,4528556.0,4574595.0,54949.621556429
Lung,Male,Mortality,2022,22.59982247,52.9737782,2.832824854,2363,Austria,Austria,Western Europe,17,58,1,8,20,2021,9064677.0,4460698.0,4603980.0,52336.7725223758
Lung,Female,Mortality,2022,14.52318218,38.27123904,1.841865806,1762,Austria,Austria,Western Europe,17,58,1,8,20,2021,9064677.0,4460698.0,4603980.0,52336.7725223758
Lung,Male,Mortality,2022,23.34107406,53.69999,2.4064424,13715,South Korea,"Korea, Republic of",Eastern Asia,65,190,2,0,37,2023,51782512.0,25840655.0,25941857.0,34822.4048404971
Lung,Female,Mortality,2022,6.147250426,18.93145009,0.609813694,4869,South Korea,"Korea, Republic of",Eastern Asia,65,190,2,0,37,2023,51782512.0,25840655.0,25941857.0,34822.4048404971
Lung,Male,Mortality,2022,8.529084648,3.318939367,0.9626130247,93,Kuwait,Kuwait,Western Asia,2,5,0,0,1,2021,4589511.0,2802100.0,1787410.0,39981.7691035833
Lung,Female,Mortality,2022,2.942392845,1.846245771,0.2999414069,33,Kuwait,Kuwait,Western Asia,2,5,0,0,1,2021,4589511.0,2802100.0,1787410.0,39981.7691035833
Lung,Male,Mortality,2022,38.92411886,79.01788124,4.985766184,688,Latvia,Latvia,Northern Europe,6,15,0,2,1,2023,1881063.0,870579.0,1010484.0,20221.103686109
Lung,Female,Mortality,2022,6.677988566,21.1164139,0.8190822543,213,Latvia,Latvia,Northern Europe,6,15,0,2,1,2023,1881063.0,870579.0,1010484.0,20221.103686109
Lung,Male,Mortality,2022,31.98352821,65.16765913,4.025004131,861,Lithuania,Lithuania,Northern Europe,5,16,0,4,8,2024,2816919.0,1326195.0,1490725.0,25085.784063499
Lung,Female,Mortality,2022,5.961350003,17.61086736,0.7539641741,266,Lithuania,Lithuania,Northern Europe,5,16,0,4,8,2024,2816919.0,1326195.0,1490725.0,25085.784063499
Lung,Male,Mortality,2022,15.94460051,31.33041727,1.832365242,103,Luxembourg,Luxembourg,Western Europe,1,4,0,0,2,2017,653313.0,328888.0,324425.0,123719.658915996
Lung,Female,Mortality,2022,11.72373221,24.66479009,1.378250128,80,Luxembourg,Luxembourg,Western Europe,1,4,0,0,2,2017,653313.0,328888.0,324425.0,123719.658915996
Lung,Male,Mortality,2022,10.93758773,16.74494013,1.29699466,107,Mauritius,Mauritius,Eastern Africa,1,5,0,0,1,2024,1276130.0,638999.0,637130.0,10246.5017455553
Lung,Female,Mortality,2022,5.318940231,8.946361852,0.5217774518,57,Mauritius,Mauritius,Eastern Africa,1,5,0,0,1,2024,1276130.0,638999.0,637130.0,10246.5017455553
Lung,Male,Mortality,2022,5.330155506,5.690548137,0.5767911026,3551,Mexico,Mexico,Central America,114,207,0,2,66,2025,128613117.0,62401721.0,66211395.99999999,11405.7940473759
Lung,Female,Mortality,2022,3.280207645,3.935878349,0.365243739,2606,Mexico,Mexico,Central America,114,207,0,2,66,2025,128613117.0,62401721.0,66211395.99999999,11405.7940473759
Lung,Male,Mortality,2022,48.37443946,69.94322829,5.944714697,933,Armenia,Armenia,Western Asia,2,5,0,0,3,2025,2880874.0,1333939.0,1546936.0,6571.97445545099
Lung,Female,Mortality,2022,6.807145979,13.18736302,0.6911357782,204,Armenia,Armenia,Western Asia,2,5,0,0,3,2025,2880874.0,1333939.0,1546936.0,6571.97445545099
Lung,Male,Mortality,2022,4.585779695,2.991829585,0.4293092319,99,Nicaragua,Nicaragua,Central America,1,5,0,1,1,2021,6730654.0,3309012.0,3421642.0,2322.89053964583
Lung,Female,Mortality,2022,2.255178741,1.987350514,0.2611680764,68,Nicaragua,Nicaragua,Central America,1,5,0,1,1,2021,6730654.0,3309012.0,3421642.0,2322.89053964583
Lung,Male,Incidence,2022,28.39754963,65.78466752,3.433094046,1810,Norway,Norway,Northern Europe,10,44,0,7,12,2021,5456801.0,2751263.0,2705539.0,109269.520580298
Lung,Female,Incidence,2022,26.33599634,64.60373297,3.314876716,1748,Norway,Norway,Northern Europe,10,44,0,7,12,2021,5456801.0,2751263.0,2705539.0,109269.520580298
Lung,Male,Mortality,2022,5.950203358,7.041613665,0.6489934153,155,Panama,Panama,Central America,3,7,0,0,1,2025,4400773.0,2201198.0,2199575.0,17378.6070017557
Lung,Female,Mortality,2022,3.623879275,4.819114974,0.4473635686,106,Panama,Panama,Central America,3,7,0,0,1,2025,4400773.0,2201198.0,2199575.0,17378.6070017557
Lung,Male,Mortality,2022,35.16610352,73.25234985,4.456595703,13042,Poland,Poland,Eastern Europe,47,173,2,0,24,2023,38385739.0,18604014.0,19781726.0,18891.2121169279
Lung,Female,Mortality,2022,16.15207672,41.75172012,2.176340536,7935,Poland,Poland,Eastern Europe,47,173,2,0,24,2023,38385739.0,18604014.0,19781726.0,18891.2121169279
Lung,Male,Mortality,2022,25.5717614,64.98774603,3.159689822,3225,Portugal,Portugal,Southern Europe,24,57,0,0,17,2025,10417073.0,4962474.0,5454599.0,24620.5197587181
