Year,Population,Population_male,Population_female,ISO3,Population id,Cancer label,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total,Region Name,Year_Units,RT_m,GDP_per_capita,TAC,GammaC,MRI,Mammography,PET
2015,1292275.0,648341.0,643934.0,MUS,480,Lung,Male,Mortality,14.08476589,16.81214052,1.701498394,109,Africa,2010,2.31,9630.5437837507,6.16,2.31,4.62,57.98,0.0
2015,1292275.0,648341.0,643934.0,MUS,480,Lung,Female,Mortality,5.710435938,8.541241384,0.6082278732,55,Africa,2010,2.31,9630.5437837507,6.16,2.31,4.62,57.98,0.0
2015,1292275.0,648341.0,643934.0,MUS,480,Breast,Female,Mortality,19.73739649,27.48726773,2.340956537,177,Africa,2010,2.31,9630.5437837507,6.16,2.31,4.62,57.98,0.0
2015,1292275.0,648341.0,643934.0,MUS,480,Prostate,Male,Mortality,8.993799806,10.02558839,0.7127667289,65,Africa,2010,2.31,9630.5437837507,6.16,2.31,4.62,57.98,0.0
2015,1292275.0,648341.0,643934.0,MUS,480,Cervix,Female,Mortality,3.73173349,5.12474483,0.5158764968,33,Africa,2010,2.31,9630.5437837507,6.16,2.31,4.62,57.98,0.0
2018,1288833.0,646826.0,642008.0,MUS,480,Lung,Male,Mortality,10.54307195,14.37791182,1.282057336,93,Africa,2013,2.41,11818.7480619272,6.43,2.41,4.82,,0.0
2018,1288833.0,646826.0,642008.0,MUS,480,Lung,Female,Mortality,5.16585764,8.411110142,0.6078541092,54,Africa,2013,2.41,11818.7480619272,6.43,2.41,4.82,,0.0
2018,1288833.0,646826.0,642008.0,MUS,480,Breast,Female,Mortality,18.15545305,26.94670471,2.128045368,173,Africa,2013,2.41,11818.7480619272,6.43,2.41,4.82,,0.0
2018,1288833.0,646826.0,642008.0,MUS,480,Prostate,Male,Mortality,12.16537818,15.30551903,1.087958307,99,Africa,2013,2.41,11818.7480619272,6.43,2.41,4.82,,0.0
2018,1288833.0,646826.0,642008.0,MUS,480,Cervix,Female,Mortality,4.173902299,6.541974555,0.4778447802,42,Africa,2013,2.41,11818.7480619272,6.43,2.41,4.82,,0.0
2022,1276130.0,638999.0,637130.0,MUS,480,Lung,Male,Mortality,10.93758773,16.74494013,1.29699466,107,Africa,2017,3.14,10246.5017455553,,,,,
2022,1276130.0,638999.0,637130.0,MUS,480,Lung,Female,Mortality,5.318940231,8.946361852,0.5217774518,57,Africa,2017,3.14,10246.5017455553,,,,,
2022,1276130.0,638999.0,637130.0,MUS,480,Breast,Female,Mortality,18.96845769,31.39074334,1.976761027,200,Africa,2017,3.14,10246.5017455553,,,,,
2022,1276130.0,638999.0,637130.0,MUS,480,Prostate,Male,Mortality,10.09990353,15.80597153,0.9013773589,101,Africa,2017,3.14,10246.5017455553,,,,,
2022,1276130.0,638999.0,637130.0,MUS,480,Cervix,Female,Mortality,3.799935587,5.964241235,0.3636388218,38,Africa,2017,3.14,10246.5017455553,,,,,
2015,37531446.0,18550371.0,18981075.0,UGA,800,Lung,Male,Incidence,6.55507795,1.496436512,1.095474441,19,Africa,2010,0.06,862.934610355811,0.33,0.06,0.03,3.59,0.0
2015,37531446.0,18550371.0,18981075.0,UGA,800,Lung,Female,Incidence,3.643987661,0.9833649766,0.4594715229,14,Africa,2010,0.06,862.934610355811,0.33,0.06,0.03,3.59,0.0
2015,37531446.0,18550371.0,18981075.0,UGA,800,Breast,Female,Incidence,29.88610469,11.16821652,3.30202982,159,Africa,2010,0.06,862.934610355811,0.33,0.06,0.03,3.59,0.0
2015,37531446.0,18550371.0,18981075.0,UGA,800,Prostate,Male,Incidence,53.23367652,9.68745742,5.842292921,123,Africa,2010,0.06,862.934610355811,0.33,0.06,0.03,3.59,0.0
2015,37531446.0,18550371.0,18981075.0,UGA,800,Cervix,Female,Incidence,50.29101434,17.3493678,5.640038171,247,Africa,2010,0.06,862.934610355811,0.33,0.06,0.03,3.59,0.0
2015,56723537.0,27529271.0,29194266.0,ZAF,710,Lung,Male,Mortality,20.87480152,13.58190705,2.647397556,3739,Africa,2010,0.6,6112.27382485974,1.02,0.56,0.24,9.11,0.06
2015,56723537.0,27529271.0,29194266.0,ZAF,710,Lung,Female,Mortality,6.843051857,6.340286246,0.866240665,1851,Africa,2010,0.6,6112.27382485974,1.02,0.56,0.24,9.11,0.06
