Cancer label,Sex,Type,Year,ASR (World),Crude rate,Cumulative risk,Total,Country_harmonized,Region Name,RTCenters,Linac,Protontherapy,XRay,Brachytherapy,Last Update,Population,Population_male,Population_female,GDP_per_capita
Cervix,Female,Incidence,2007,12.88098939,17.99418388,1.285188503,931,Belarus,Eastern Europe,13,31,0,11,17,2024,9563133.0,4450421.0,5112713.0,4735.48107556066
Cervix,Female,Incidence,2008,13.08979635,18.76366303,1.296156652,956,Belarus,Eastern Europe,13,31,0,11,17,2024,9529358.0,4432534.0,5096824.0,6376.17569162063
Cervix,Female,Incidence,2009,12.78925456,18.36783497,1.287708897,934,Belarus,Eastern Europe,13,31,0,11,17,2024,9507337.0,4421224.0,5086114.0,5352.48809190697
Cervix,Female,Incidence,2010,12.68453324,18.3166127,1.270705555,930,Belarus,Eastern Europe,13,31,0,11,17,2024,9490752.0,4412608.0,5078144.0,6034.67885177216
Cervix,Female,Incidence,2011,13.30541953,18.93511665,1.313380819,960,Belarus,Eastern Europe,13,31,0,11,17,2024,9472735.0,4402539.0,5070196.0,6527.6593428786
Cervix,Female,Incidence,2012,12.44898734,17.94107866,1.236945535,909,Belarus,Eastern Europe,13,31,0,11,17,2024,9463076.0,4397152.0,5065925.0,6953.21591683101
Cervix,Female,Incidence,2013,11.97800564,17.17782178,1.194488676,872,Belarus,Eastern Europe,13,31,0,11,17,2024,9464453.0,4398658.0,5065794.0,7998.0802045456
Cervix,Female,Incidence,2014,12.22323863,17.75385753,1.204938166,902,Belarus,Eastern Europe,13,31,0,11,17,2024,9472708.0,4404484.0,5068224.0,8341.31809294883
Cervix,Female,Incidence,2015,11.81860933,17.39439441,1.175950146,885,Belarus,Eastern Europe,13,31,0,11,17,2024,9487293.0,4414172.0,5073122.0,5967.05595058777
Cervix,Female,Incidence,2016,12.67282267,18.65641598,1.266599996,950,Belarus,Eastern Europe,13,31,0,11,17,2024,9499064.0,4422811.0,5076252.0,5039.77560949445
Cervix,Female,Incidence,2017,12.97405218,19.08875662,1.287767838,971,Belarus,Eastern Europe,13,31,0,11,17,2024,9495790.0,4423272.0,5072517.0,5785.54491935194
Cervix,Female,Incidence,2007,6.365741935,8.611732887,0.5935542362,1050,Canada,Northern America,52,296,0,14,52,2025,33092171.000000004,16396809.000000002,16695362.000000002,44660.0838892281
Cervix,Female,Incidence,2008,6.110331987,8.341159757,0.5965456194,1029,Canada,Northern America,52,296,0,14,52,2025,33449085.0,16572555.0,16876530.0,46710.2526864484
Cervix,Female,Incidence,2009,6.702920492,8.82592811,0.6402688524,1102,Canada,Northern America,52,296,0,14,52,2025,33826370.0,16759240.000000002,17067130.0,40874.8831932903
Cervix,Female,Incidence,2010,6.368516449,8.43815587,0.6011551825,1067,Canada,Northern America,52,296,0,14,52,2025,34196899.0,16943012.0,17253887.0,47560.6666009406
Cervix,Female,Incidence,2011,6.097391101,8.138676155,0.5845703056,1040,Canada,Northern America,52,296,0,14,52,2025,34555452.0,17123509.0,17431944.0,52223.8588398531
Cervix,Female,Incidence,2012,5.804452207,7.787033375,0.5497183434,1007,Canada,Northern America,52,296,0,14,52,2025,34922516.0,17311929.0,17610587.0,52670.3447335415
Cervix,Female,Incidence,2013,5.711402123,7.737729321,0.5449343678,1013,Canada,Northern America,52,296,0,14,52,2025,35293433.0,17502586.0,17790847.0,52638.1187235237
Cervix,Female,Incidence,2014,5.863879678,8.020079926,0.5539024828,1063,Canada,Northern America,52,296,0,14,52,2025,35634264.0,17674847.0,17959416.0,50960.8431174661
Cervix,Female,Incidence,2015,5.897503074,7.842291151,0.5583204834,1049,Canada,Northern America,52,296,0,14,52,2025,35962234.0,17837661.0,18124573.0,43594.1941045394
Cervix,Female,Incidence,2016,6.210962439,8.269932973,0.5788617035,1121,Canada,Northern America,52,296,0,14,52,2025,36353343.0,18032655.0,18320689.0,42314.0615817218
Cervix,Female,Incidence,2017,6.225063568,8.256899371,0.5854940057,1134,Canada,Northern America,52,296,0,14,52,2025,36808497.0,18263590.0,18544907.0,45129.628116623
