Cancer id,Cancer label,Population id,Country label,Sex,Type,Year,ASR (World),Crude rate,Cumulative risk,Total
23,Brain and central nervous system,112,Belarus,1,0,1983,2.57957856,2.592025129,0.2435156493,118
23,Brain and central nervous system,112,Belarus,1,0,1984,3.116864415,3.224443021,0.318293582,148
23,Brain and central nervous system,112,Belarus,1,0,1985,3.166941671,3.373246479,0.3090505177,156
23,Brain and central nervous system,112,Belarus,1,0,1986,3.77154101,3.969739853,0.3605584467,185
23,Brain and central nervous system,112,Belarus,1,0,1987,3.823104717,3.830578615,0.3783914049,180
23,Brain and central nervous system,112,Belarus,1,0,1988,3.448000769,3.547108558,0.3235212731,168
23,Brain and central nervous system,112,Belarus,1,0,1989,3.922548364,4.037404355,0.3549067834,193
23,Brain and central nervous system,112,Belarus,1,0,1990,4.081463258,4.368930009,0.4149492368,209
23,Brain and central nervous system,112,Belarus,1,0,1991,3.825625598,4.19812037,0.354366873,201
23,Brain and central nervous system,112,Belarus,1,0,1992,4.105568554,4.436225509,0.3910360259,213
23,Brain and central nervous system,112,Belarus,1,0,1993,4.94469998,5.292557486,0.4788488261,256
23,Brain and central nervous system,112,Belarus,1,0,1994,5.114490858,5.382728495,0.4896744844,261
23,Brain and central nervous system,112,Belarus,1,0,1995,4.660641854,4.90916587,0.4193421883,236
23,Brain and central nervous system,112,Belarus,1,0,1996,4.858237117,5.405403149,0.4710075133,259
23,Brain and central nervous system,112,Belarus,1,0,1997,4.086436198,4.479109871,0.3812212218,214
23,Brain and central nervous system,112,Belarus,1,0,1998,4.566955932,4.894226934,0.4314891636,233
23,Brain and central nervous system,112,Belarus,1,0,1999,4.330803431,4.823904321,0.4298690169,229
23,Brain and central nervous system,112,Belarus,1,0,2000,4.5145198,4.996585312,0.4295368756,235
23,Brain and central nervous system,112,Belarus,1,0,2001,5.001797768,5.525077559,0.4731243682,259
23,Brain and central nervous system,112,Belarus,1,0,2002,4.047205728,4.500183865,0.3818990043,210
23,Brain and central nervous system,112,Belarus,1,0,2003,4.34433475,4.974088244,0.4270543838,230
23,Brain and central nervous system,112,Belarus,1,0,2004,4.390864732,4.786111921,0.4116692029,220
23,Brain and central nervous system,112,Belarus,1,0,2005,4.406446443,5.121258937,0.4348247971,234
23,Brain and central nervous system,112,Belarus,1,0,2006,4.34959634,4.884312205,0.4014504372,222
23,Brain and central nervous system,112,Belarus,1,0,2007,5.143224243,5.80801913,0.5046360428,263
23,Brain and central nervous system,112,Belarus,1,0,2008,6.218303308,6.992958091,0.6006293464,310
23,Brain and central nervous system,112,Belarus,1,0,2009,5.178922478,5.99304942,0.4922970847,265
23,Brain and central nervous system,112,Belarus,1,0,2010,5.809247879,6.593817446,0.5473639799,291
23,Brain and central nervous system,112,Belarus,1,0,2011,5.299589275,6.13186647,0.4913504207,270
23,Brain and central nervous system,112,Belarus,1,0,2012,5.698023954,6.7304697,0.5559094014,296
23,Brain and central nervous system,112,Belarus,1,0,2013,5.100818012,6.343175407,0.5354461533,277
23,Brain and central nervous system,112,Belarus,1,0,2014,5.605476116,7.005608379,0.5755778733,306
23,Brain and central nervous system,112,Belarus,1,0,2015,5.991972541,6.882784578,0.5755898678,301
23,Brain and central nervous system,112,Belarus,1,0,2016,5.410099851,6.85354455,0.5719488954,300
23,Brain and central nervous system,112,Belarus,1,0,2017,5.6684211,6.861495005,0.5411862649,300
23,Brain and central nervous system,112,Belarus,2,0,1983,2.297254265,2.44896819,0.2007591562,128
23,Brain and central nervous system,112,Belarus,2,0,1984,1.746033878,1.996092981,0.1729136901,105
23,Brain and central nervous system,112,Belarus,2,0,1985,2.013786054,2.230820755,0.1883962763,118
23,Brain and central nervous system,112,Belarus,2,0,1986,2.42947822,2.725460937,0.2262739576,145
23,Brain and central nervous system,112,Belarus,2,0,1987,2.376944238,2.672484085,0.2137654472,143
23,Brain and central nervous system,112,Belarus,2,0,1988,2.383852236,2.732949555,0.2229858913,147
23,Brain and central nervous system,112,Belarus,2,0,1989,2.818101562,3.177795633,0.2614845573,172
23,Brain and central nervous system,112,Belarus,2,0,1990,3.177369923,3.408522264,0.2780713886,185
23,Brain and central nervous system,112,Belarus,2,0,1991,3.162692407,3.447261961,0.2729439432,187
23,Brain and central nervous system,112,Belarus,2,0,1992,3.001498126,3.369251767,0.2787527017,183
23,Brain and central nervous system,112,Belarus,2,0,1993,3.219525041,3.552577413,0.2864836819,194
23,Brain and central nervous system,112,Belarus,2,0,1994,4.057585124,4.350556908,0.3562691172,238
23,Brain and central nervous system,112,Belarus,2,0,1995,3.206422389,3.624844282,0.2988430876,199
23,Brain and central nervous system,112,Belarus,2,0,1996,3.675314745,4.165992129,0.3374536403,228
23,Brain and central nervous system,112,Belarus,2,0,1997,3.58540034,3.993850204,0.3242079516,218
23,Brain and central nervous system,112,Belarus,2,0,1998,3.118114326,3.472269428,0.2765672402,189
23,Brain and central nervous system,112,Belarus,2,0,1999,2.964987783,3.681933251,0.2978305875,200
23,Brain and central nervous system,112,Belarus,2,0,2000,3.519125914,3.856088519,0.310164953,205
23,Brain and central nervous system,112,Belarus,2,0,2001,3.305684368,3.752792436,0.3051465619,199
23,Brain and central nervous system,112,Belarus,2,0,2002,3.679746762,4.18207031,0.3380044273,221
