Cancer id,Cancer label,Population id,Country label,Sex,Type,Year,ASR (World),Crude rate,Cumulative risk,Total
25,Hodgkin lymphoma,112,Belarus,1,0,1983,2.758929065,2.833654591,0.2546029723,129
25,Hodgkin lymphoma,112,Belarus,1,0,1984,3.015627684,3.071935581,0.2796814334,141
25,Hodgkin lymphoma,112,Belarus,1,0,1985,2.473427448,2.638051734,0.2226315395,122
25,Hodgkin lymphoma,112,Belarus,1,0,1986,2.488738257,2.553508338,0.2149947859,119
25,Hodgkin lymphoma,112,Belarus,1,0,1987,2.835935275,3.000619915,0.2515461665,141
25,Hodgkin lymphoma,112,Belarus,1,0,1988,2.697306591,2.850355091,0.2147505128,135
25,Hodgkin lymphoma,112,Belarus,1,0,1989,3.056880224,3.096040645,0.2837897402,148
25,Hodgkin lymphoma,112,Belarus,1,0,1990,3.496617139,3.511867185,0.2895798521,168
25,Hodgkin lymphoma,112,Belarus,1,0,1991,3.564692793,3.634193753,0.2987368421,174
25,Hodgkin lymphoma,112,Belarus,1,0,1992,3.263603244,3.26989392,0.2854938551,157
25,Hodgkin lymphoma,112,Belarus,1,0,1993,2.611488037,2.749649006,0.2183181021,133
25,Hodgkin lymphoma,112,Belarus,1,0,1994,2.762582777,2.866663834,0.2488675019,139
25,Hodgkin lymphoma,112,Belarus,1,0,1995,2.625966777,2.745804639,0.2110734093,132
25,Hodgkin lymphoma,112,Belarus,1,0,1996,2.508489005,2.734006998,0.2167802029,131
25,Hodgkin lymphoma,112,Belarus,1,0,1997,2.614645256,2.825606694,0.2191338377,135
25,Hodgkin lymphoma,112,Belarus,1,0,1998,2.971342824,3.150789872,0.2463292314,150
25,Hodgkin lymphoma,112,Belarus,1,0,1999,2.632479265,2.822721306,0.2113047326,134
25,Hodgkin lymphoma,112,Belarus,1,0,2000,2.428612887,2.593971949,0.1928787081,122
25,Hodgkin lymphoma,112,Belarus,1,0,2001,2.749101352,3.007860756,0.2208050638,141
25,Hodgkin lymphoma,112,Belarus,1,0,2002,2.283585618,2.485815849,0.1948795531,116
25,Hodgkin lymphoma,112,Belarus,1,0,2003,2.647650058,2.897947064,0.2125042491,134
25,Hodgkin lymphoma,112,Belarus,1,0,2004,2.529372747,2.762891882,0.1904804345,127
25,Hodgkin lymphoma,112,Belarus,1,0,2005,2.879684834,3.173429683,0.215655909,145
25,Hodgkin lymphoma,112,Belarus,1,0,2006,2.491602681,2.772177198,0.1899019089,126
25,Hodgkin lymphoma,112,Belarus,1,0,2007,2.793839488,3.268390993,0.2236286175,148
25,Hodgkin lymphoma,112,Belarus,1,0,2008,2.659619464,3.067878388,0.2252933237,136
25,Hodgkin lymphoma,112,Belarus,1,0,2009,2.710623075,3.030447631,0.2247540187,134
25,Hodgkin lymphoma,112,Belarus,1,0,2010,2.565752652,2.855054977,0.2249688899,126
25,Hodgkin lymphoma,112,Belarus,1,0,2011,2.83128351,3.134065085,0.2267485973,138
25,Hodgkin lymphoma,112,Belarus,1,0,2012,2.210084074,2.501188064,0.1759431669,110
25,Hodgkin lymphoma,112,Belarus,1,0,2013,2.554436499,2.725046475,0.1910275836,119
25,Hodgkin lymphoma,112,Belarus,1,0,2014,2.306757449,2.564144243,0.1813161846,112
25,Hodgkin lymphoma,112,Belarus,1,0,2015,2.860861826,3.109829577,0.2264626214,136
25,Hodgkin lymphoma,112,Belarus,1,0,2016,2.364719811,2.695727523,0.2092219645,118
25,Hodgkin lymphoma,112,Belarus,1,0,2017,2.011927254,2.241421702,0.1659478805,98
25,Hodgkin lymphoma,112,Belarus,2,0,1983,1.77042836,1.855858707,0.1428901985,97
25,Hodgkin lymphoma,112,Belarus,2,0,1984,2.113740361,2.186197074,0.1720277168,115
25,Hodgkin lymphoma,112,Belarus,2,0,1985,1.6317239,1.758189239,0.1376422257,93
25,Hodgkin lymphoma,112,Belarus,2,0,1986,2.050374323,2.142776185,0.1660066558,114
25,Hodgkin lymphoma,112,Belarus,2,0,1987,1.940363978,2.074445688,0.1535700513,111
25,Hodgkin lymphoma,112,Belarus,2,0,1988,1.946370082,2.063655787,0.1587797322,111
25,Hodgkin lymphoma,112,Belarus,2,0,1989,2.365960763,2.512675617,0.1951367544,136
25,Hodgkin lymphoma,112,Belarus,2,0,1990,2.480744497,2.579422254,0.1935315684,140
