Cancer id,Cancer label,Population id,Country label,Sex,Type,Year,ASR (World),Crude rate,Cumulative risk,Total
11,Lung,112,Belarus,1,0,2007,61.43411062,80.95892825,7.865065011,3666
11,Lung,112,Belarus,1,0,2008,62.72997436,84.93060391,8.033256953,3765
11,Lung,112,Belarus,1,0,2009,61.0989897,84.1062294,7.731975766,3719
11,Lung,112,Belarus,1,0,2010,62.58233408,86.37674263,7.914747038,3812
11,Lung,112,Belarus,1,0,2011,59.75500074,83.23440967,7.621488144,3665
11,Lung,112,Belarus,1,0,2012,56.76690552,79.65147081,7.189208286,3503
11,Lung,112,Belarus,1,0,2013,56.22706703,80.14842572,7.200252903,3500
11,Lung,112,Belarus,1,0,2014,59.38948574,85.60120826,7.616122148,3739
11,Lung,112,Belarus,1,0,2015,58.4264134,85.68037812,7.42904268,3747
11,Lung,112,Belarus,1,0,2016,57.68154388,85.89775837,7.384688933,3760
11,Lung,112,Belarus,1,0,2017,59.79107545,90.59460572,7.563616271,3961
11,Lung,112,Belarus,2,0,2007,5.52521386,10.72693024,0.6470856123,555
11,Lung,112,Belarus,2,0,2008,5.572087486,10.89313073,0.6495304449,555
11,Lung,112,Belarus,2,0,2009,5.413262531,10.89484001,0.6674619581,554
11,Lung,112,Belarus,2,0,2010,5.80548943,12.07320815,0.6899269927,613
11,Lung,112,Belarus,2,0,2011,5.267050992,10.74962352,0.6376244947,545
11,Lung,112,Belarus,2,0,2012,5.732429509,11.34886714,0.6904890612,575
11,Lung,112,Belarus,2,0,2013,5.297740965,10.61794259,0.6430161528,539
11,Lung,112,Belarus,2,0,2014,5.904266081,12.24268224,0.7264255643,622
11,Lung,112,Belarus,2,0,2015,6.135968698,12.46106899,0.772077185,634
11,Lung,112,Belarus,2,0,2016,5.928251935,12.17576622,0.7280592727,620
11,Lung,112,Belarus,2,0,2017,6.437349815,13.28939184,0.779458985,676
11,Lung,124,Canada,1,0,2007,40.87033854,67.47732762,4.957294214,8100
11,Lung,124,Canada,1,0,2008,39.18428509,65.6445346,4.764900071,7962
11,Lung,124,Canada,1,0,2009,39.17178977,67.12169501,4.723755592,8232
11,Lung,124,Canada,1,0,2010,37.92135168,65.96665848,4.601920939,8188
11,Lung,124,Canada,1,0,2011,36.27460482,64.84346723,4.405489745,8130
11,Lung,124,Canada,1,0,2012,36.01025332,65.90128872,4.382181561,8368
11,Lung,124,Canada,1,0,2013,36.9770464,69.8860569,4.408938684,8993
