Cancer label,Sex,Type,Year,ASR (World),Crude rate,Cumulative risk,Total,Country_harmonized,Indicator,Region Name,Year_Units,RT_m,Population,Population_male,Population_female,GDP_per_capita
Lung,Male,Incidence,2015,58.4264134,85.68037812,7.42904268,3747,Belarus,Total density per million population: Radiotherapy units,Europe,2010,3.02,9487293.0,4414172.0,5073122.0,5967.05595058777
Lung,Female,Incidence,2015,6.135968698,12.46106899,0.772077185,634,Belarus,Total density per million population: Radiotherapy units,Europe,2010,3.02,9487293.0,4414172.0,5073122.0,5967.05595058777
Lung,Male,Incidence,2015,35.36858292,70.07577918,4.220174909,9215,Canada,Total density per million population: Radiotherapy units,Americas,2010,8.73,35962234.0,17837661.0,18124573.0,43594.1941045394
Lung,Male,Mortality,2015,28.5610639,59.75559407,3.281947242,10659,Canada,Total density per million population: Radiotherapy units,Americas,2010,8.73,35962234.0,17837661.0,18124573.0,43594.1941045394
Lung,Male,Mortality,2018,25.34854648,56.8244145,2.843197346,10521,Canada,Total density per million population: Radiotherapy units,Americas,2013,8.07,37295005.0,18514929.0,18780076.0,46539.1761570405
Lung,Male,Mortality,2022,20.68974662,50.97924888,2.350678581,9830,Canada,Total density per million population: Radiotherapy units,Americas,2017,9.3,38821259.0,19282356.0,19538904.0,56256.8007264015
Lung,Female,Incidence,2015,31.78510646,68.36025766,3.989160448,9144,Canada,Total density per million population: Radiotherapy units,Americas,2010,8.73,35962234.0,17837661.0,18124573.0,43594.1941045394
Lung,Female,Mortality,2015,22.57657862,52.0288105,2.762245612,9430,Canada,Total density per million population: Radiotherapy units,Americas,2010,8.73,35962234.0,17837661.0,18124573.0,43594.1941045394
Lung,Female,Mortality,2018,20.22655128,50.48967853,2.409769261,9482,Canada,Total density per million population: Radiotherapy units,Americas,2013,8.07,37295005.0,18514929.0,18780076.0,46539.1761570405
Lung,Female,Mortality,2022,17.43395158,47.70482642,2.065611087,9321,Canada,Total density per million population: Radiotherapy units,Americas,2017,9.3,38821259.0,19282356.0,19538904.0,56256.8007264015
Lung,Male,Incidence,2015,10.4012857,14.95631724,1.283567779,29,Chile,Total density per million population: Radiotherapy units,Americas,2010,0.93,18047625.0,8976465.0,9071160.0,13433.9202987032
Lung,Male,Mortality,2015,14.48036936,20.55374805,1.854980285,1845,Chile,Total density per million population: Radiotherapy units,Americas,2010,0.93,18047625.0,8976465.0,9071160.0,13433.9202987032
Lung,Male,Mortality,2018,13.5186356,20.84568241,1.663146085,1959,Chile,Total density per million population: Radiotherapy units,Americas,2013,0.91,18893191.0,9397629.0,9495561.0,15659.4808675628
Lung,Female,Incidence,2015,4.179255312,9.004817577,0.3173807477,18,Chile,Total density per million population: Radiotherapy units,Americas,2010,0.93,18047625.0,8976465.0,9071160.0,13433.9202987032
Lung,Female,Mortality,2015,8.143624,13.91222215,0.9938103554,1262,Chile,Total density per million population: Radiotherapy units,Americas,2010,0.93,18047625.0,8976465.0,9071160.0,13433.9202987032
Lung,Female,Mortality,2018,7.889194957,14.19610625,0.9461453629,1348,Chile,Total density per million population: Radiotherapy units,Americas,2013,0.91,18893191.0,9397629.0,9495561.0,15659.4808675628
Lung,Male,Incidence,2015,47.59994877,111.3064576,5.531967192,4973,China,Total density per million population: Radiotherapy units,Western Pacific,2010,1.15,1396134174.0,714291689.0,681842484.0,8175.33285077393
Lung,Female,Incidence,2015,32.54874953,73.20136657,3.74185463,3368,China,Total density per million population: Radiotherapy units,Western Pacific,2010,1.15,1396134174.0,714291689.0,681842484.0,8175.33285077393
Lung,Male,Incidence,2015,13.97620701,15.5247637,1.614017791,320,Colombia,Total density per million population: Radiotherapy units,Americas,2010,1.38,46969940.0,23221563.0,23748377.0,6248.51490534512
Lung,Male,Mortality,2015,11.9324731,11.42903258,1.246974603,2654,Colombia,Total density per million population: Radiotherapy units,Americas,2010,1.38,46969940.0,23221563.0,23748377.0,6248.51490534512
Lung,Male,Mortality,2018,10.58345612,11.00328406,1.122040108,2666,Colombia,Total density per million population: Radiotherapy units,Americas,2013,1.45,49024465.0,24229130.0,24795336.0,6816.96818309544
Lung,Female,Incidence,2015,6.700390788,9.268152941,0.7935996732,209,Colombia,Total density per million population: Radiotherapy units,Americas,2010,1.38,46969940.0,23221563.0,23748377.0,6248.51490534512
Lung,Female,Mortality,2015,7.124788769,8.341622496,0.7765348487,1981,Colombia,Total density per million population: Radiotherapy units,Americas,2010,1.38,46969940.0,23221563.0,23748377.0,6248.51490534512
Lung,Female,Mortality,2018,6.501695915,8.336245339,0.6781656127,2067,Colombia,Total density per million population: Radiotherapy units,Americas,2013,1.45,49024465.0,24229130.0,24795336.0,6816.96818309544
Lung,Male,Incidence,2015,5.565491564,5.821261049,0.6300842058,142,Costa Rica,Total density per million population: Radiotherapy units,Americas,2010,1.72,4818038.0,2385764.0,2432275.0,11714.7105980732
Lung,Male,Mortality,2015,6.686904122,7.838161662,0.6861559924,187,Costa Rica,Total density per million population: Radiotherapy units,Americas,2010,1.72,4818038.0,2385764.0,2432275.0,11714.7105980732
Lung,Male,Mortality,2018,7.199490255,9.372170521,0.7389985887,230,Costa Rica,Total density per million population: Radiotherapy units,Americas,2013,2.26,4957818.0,2454074.0,2503744.0,12590.2493781614
Lung,Male,Mortality,2022,5.421611968,8.001466537,0.6187544792,201,Costa Rica,Total density per million population: Radiotherapy units,Americas,2017,1.37,5081765.0,2512039.0,2569725.0,13625.9008491328
Lung,Female,Incidence,2015,3.255883015,3.677544537,0.405676742,88,Costa Rica,Total density per million population: Radiotherapy units,Americas,2010,1.72,4818038.0,2385764.0,2432275.0,11714.7105980732
