Year,TAC,GammaC,MRI,Mammography,PET,ISO3
2015,0.19,0.0,0.1,0.0,0.0,AFG
2018,0.2,0.0,0.098,0.0,0.0,AFG
2019,0.0,0.0,0.0,0.0,0.0,AFG
2015,0.47,0.0,0.05,6.98,0.0,AGO
2018,0.42,0.0,0.047,0.0,0.0,AGO
2019,0.0,0.0,0.0,6.33,0.0,AGO
2022,0.0,0.0,0.0,0.0,0.0,AGO
2015,5.31,0.0,1.56,62.71,0.0,ALB
2018,5.36,0.0,1.58,0.0,0.0,ALB
2019,0.0,0.0,0.0,54.4,0.0,ALB
2022,0.0,0.0,0.0,0.0,0.0,ALB
2015,0.0,0.0,0.0,0.0,0.0,ARE
2018,0.0,0.0,0.0,0.0,0.0,ARE
2022,0.0,0.0,0.0,0.0,0.0,ARE
2015,0.0,0.0,0.0,0.0,0.0,ARG
2018,0.0,0.0,0.0,0.0,0.0,ARG
2022,0.0,0.0,0.0,0.0,0.0,ARG
2015,2.91,1.29,2.26,21.06,0.0,ARM
2018,3.02,1.34,2.35,0.0,0.0,ARM
2019,0.0,0.0,0.0,22.5,0.0,ARM
2022,0.0,0.0,0.0,0.0,0.0,ARM
2015,22.55,0.0,11.27,188.5,0.0,ATG
2018,22.23,0.0,11.11,0.0,0.0,ATG
2019,0.0,0.0,0.0,272.1,0.0,ATG
2022,0.0,0.0,0.0,0.0,0.0,ATG
2015,0.0,0.0,0.0,0.0,0.0,AUS
2018,0.0,0.0,0.0,0.0,0.0,AUS
2022,69.88,18.94,14.71,201.2,4.0,AUS
2022,0.0,0.0,0.0,0.0,0.0,AUS
2015,28.83,0.0,16.8,0.0,2.74,AUT
2018,28.49,0.0,16.6,0.0,2.71,AUT
2022,28.31,10.33,23.1,153.5,2.66,AUT
2022,0.0,0.0,0.0,0.0,0.0,AUT
2015,1.09,0.0,0.54,34.04,0.22,AZE
2018,1.06,0.0,0.53,0.0,0.21,AZE
2019,0.0,0.0,0.0,30.71,0.0,AZE
2022,0.0,0.0,0.0,0.0,0.0,AZE
2026,5.03,0.0,1.38,22.5,0.2,AZE
2015,0.24,0.0,0.0,2.52,0.0,BDI
2018,0.2,0.0,0.0,0.0,0.0,BDI
2019,0.0,0.0,0.0,2.69,0.0,BDI
2015,0.0,0.0,0.0,0.0,0.0,BEL
2018,0.0,0.0,0.0,0.0,0.0,BEL
2022,23.47,0.0,11.48,280.1,2.59,BEL
2022,0.0,0.0,0.0,0.0,0.0,BEL
2015,0.34,0.0,0.0,18.71,0.0,BEN
2018,0.29,0.0,0.0,0.0,0.0,BEN
2019,0.0,0.0,0.0,16.09,0.0,BEN
2015,0.18,0.0,0.0,3.14,0.0,BFA
2018,0.65,0.059,0.059,0.0,0.0,BFA
2019,0.0,0.0,0.0,13.59,0.0,BFA
2026,0.72,0.048,0.096,15.49,0.0,BFA
2015,0.0,0.0,0.0,0.0,0.0,BGD
2018,0.0,0.0,0.0,0.0,0.0,BGD
2022,0.0,0.0,0.0,0.0,0.0,BGD
2026,0.3,0.085,0.49,1.12,0.091,BGD
2015,0.0,0.0,0.0,0.0,0.0,BGR
2018,0.0,0.0,0.0,0.0,0.0,BGR
2022,0.0,0.0,0.0,0.0,0.0,BGR
2022,0.0,0.0,0.0,0.0,0.0,BHR
2015,14.58,0.0,2.92,128.5,0.0,BHS
2018,13.25,0.0,2.65,0.0,0.0,BHS
2019,0.0,0.0,0.0,106.6,0.0,BHS
2022,0.0,0.0,0.0,0.0,0.0,BHS
2026,12.72,0.0,2.54,95.1,0.0,BHS
2015,13.83,1.6,5.58,147.0,0.53,BIH
2018,16.45,1.57,5.48,0.0,0.26,BIH
2019,0.0,0.0,0.0,182.7,0.0,BIH
2022,0.0,0.0,0.0,0.0,0.0,BIH
2015,6.04,2.5,2.5,18.85,0.0,BLR
2018,6.2,2.57,2.57,0.0,0.0,BLR
2019,0.0,0.0,0.0,17.48,0.0,BLR
2022,0.0,0.0,0.0,0.0,0.0,BLR
2015,12.84,0.0,3.21,289.7,0.0,BLZ
2018,12.05,0.0,3.01,0.0,0.0,BLZ
2019,0.0,0.0,0.0,258.0,0.0,BLZ
2015,0.0,0.0,0.0,0.0,0.0,BOL
2018,0.0,0.0,0.0,0.0,0.0,BOL
2022,0.0,0.0,0.0,0.0,0.0,BOL
2015,0.0,0.0,0.0,0.0,0.0,BRA
2018,0.0,0.0,0.0,0.0,0.0,BRA
2022,0.0,0.0,0.0,0.0,0.0,BRA
2015,7.32,3.66,0.0,31.83,0.0,BRB
2018,7.03,3.51,0.0,0.0,0.0,BRB
2019,0.0,0.0,0.0,28.96,0.0,BRB
2022,0.0,0.0,0.0,0.0,0.0,BRB
2015,7.52,0.0,2.51,134.4,0.0,BRN
2018,7.18,0.0,2.39,0.0,0.0,BRN
2019,0.0,0.0,0.0,91.93,0.0,BRN
2022,0.0,0.0,0.0,0.0,0.0,BRN
2015,1.38,0.0,1.38,0.0,0.0,BTN
2018,1.33,0.0,1.33,0.0,0.0,BTN
2019,0.0,0.0,0.0,0.0,0.0,BTN
2015,1.0,0.0,0.5,17.46,0.0,BWA
2018,0.99,0.0,0.49,0.0,0.0,BWA
2019,0.0,0.0,0.0,19.1,0.0,BWA
2022,0.0,0.0,0.0,0.0,0.0,BWA
2015,0.0,0.0,0.0,4.64,0.0,CAF
2018,0.0,0.0,0.0,0.0,0.0,CAF
2019,0.0,0.0,0.0,4.68,0.0,CAF
2015,14.23,21.05,8.26,0.0,1.18,CAN
2018,13.76,20.35,7.99,0.0,1.14,CAN
2022,0.0,0.0,0.0,0.0,0.0,CAN
2026,14.76,15.58,10.31,134.5,1.48,CAN
2015,0.0,0.0,0.0,0.0,0.0,CHE
2022,0.0,0.0,0.0,0.0,0.0,CHE
2015,12.97,0.0,4.5,35.88,0.0,CHL
2018,12.6,0.0,4.37,0.0,0.0,CHL
2019,0.0,0.0,0.0,32.18,0.0,CHL
2022,23.33,0.0,11.82,0.0,0.0,CHL
2022,0.0,0.0,0.0,0.0,0.0,CHL
2015,0.0,0.0,0.0,0.0,0.0,CHN
2018,0.0,0.0,0.0,0.0,0.0,CHN
2022,0.0,0.0,0.0,0.0,0.0,CHN
2015,0.71,0.0,0.15,0.0,0.0,CIV
2018,0.69,0.0,0.15,0.0,0.0,CIV
2019,0.0,0.0,0.0,0.0,0.0,CIV
2022,0.0,0.0,0.0,0.0,0.0,CIV
2015,0.71,0.05,0.05,17.08,0.0,CMR
2018,0.63,0.045,0.045,0.0,0.0,CMR
2019,0.0,0.0,0.0,17.4,0.0,CMR
2022,0.0,0.0,0.0,0.0,0.0,CMR
2015,0.08,0.02,0.0,0.8,0.0,COD
2018,0.074,0.015,0.0,0.0,0.0,COD
2019,0.0,0.0,0.0,0.74,0.0,COD
2015,0.0,0.0,0.0,0.0,0.0,COG
2015,0.0,0.0,0.0,0.0,0.0,COL
2018,0.0,0.0,0.0,0.0,0.0,COL
2022,0.0,0.0,0.24,0.0,0.0,COL
2022,0.0,0.0,0.0,0.0,0.0,COL
2015,1.36,0.0,0.0,33.67,0.0,COM
2018,1.36,0.0,0.0,0.0,0.0,COM
2019,0.0,0.0,0.0,31.27,0.0,COM
2026,1.15,0.0,0.0,24.28,0.0,COM
2015,2.02,0.0,2.02,157.2,2.02,CPV
2018,2.0,0.0,2.0,0.0,2.0,CPV
2019,0.0,0.0,0.0,140.6,0.0,CPV
2026,14.39,0.0,5.4,124.3,0.0,CPV
2015,3.01,1.07,0.64,69.64,0.0,CRI
2018,5.13,1.23,0.82,0.0,0.21,CRI
2019,0.0,0.0,0.0,150.3,0.0,CRI
2022,0.0,0.0,0.0,0.0,0.0,CRI
2015,4.8,1.24,0.8,17.43,0.0,CUB
2018,4.79,1.24,0.8,0.0,0.0,CUB
2019,0.0,0.0,0.0,15.57,0.0,CUB
2022,0.0,0.0,0.0,0.0,0.0,CUB
2026,5.3,1.41,2.21,18.49,0.0,CUB
2015,21.75,8.15,13.59,219.5,0.0,CYP
2018,25.41,8.76,14.02,0.0,0.0,CYP
2019,0.0,0.0,0.0,329.6,0.0,CYP
2022,0.0,0.0,0.0,0.0,0.0,CYP
2015,13.25,11.53,4.96,97.19,0.57,CZE
2018,12.99,11.31,4.86,0.0,0.56,CZE
2019,0.0,0.0,0.0,96.99,0.0,CZE
2022,15.97,11.86,10.27,87.29,1.59,CZE
2022,0.0,0.0,0.0,0.0,0.0,CZE
2015,0.0,0.0,0.0,0.0,0.0,DEU
2018,0.0,0.0,0.0,0.0,0.0,DEU
2022,34.66,0.0,34.24,0.0,0.0,DEU
2022,0.0,0.0,0.0,0.0,0.0,DEU
2015,14.76,0.0,0.0,192.1,0.0,DMA
2018,13.89,0.0,0.0,0.0,0.0,DMA
2019,0.0,0.0,0.0,206.7,0.0,DMA
2015,24.14,14.95,13.87,141.3,5.95,DNK
2018,23.85,14.77,13.7,0.0,5.87,DNK
2019,0.0,0.0,0.0,138.4,0.0,DNK
2022,40.75,14.68,0.0,119.4,8.29,DNK
2022,0.0,0.0,0.0,0.0,0.0,DNK
2015,0.0,0.0,0.0,0.0,0.0,DOM
2018,0.0,0.0,0.0,0.0,0.0,DOM
2022,0.0,0.0,0.0,0.0,0.0,DOM
